category,bucket,count,proportion_of_flannery
shape,4S-5H,7374,0.7748239991593989
shape,4S-6H,1865,0.19596511505726594
shape,5S-6H,278,0.029210885783335083
strength,8 HCP,74,0.007775559525060418
strength,9 HCP,586,0.06157402542818115
strength,10 HCP,571,0.05999789849742566
strength,11 HCP,2496,0.2622675212777136
strength,12 HCP,2191,0.23021960701901859
strength,13 HCP,1464,0.15382998844173584
strength,14 HCP,1220,0.12819165703477986
strength,15 HCP,915,0.0961437427760849
minimum,total,3989,0.41914468845224334
minimum_shape,4S-5H-1D-3C,945,0.09929662603761794
minimum_shape,4S-5H-2D-2C,2091,0.21971209414731533
minimum_shape,4S-5H-3D-1C,953,0.10013596826731008
minimum_hcp,11 HCP,1813,0.19050120836398025
minimum_hcp,12 HCP,1593,0.16738467900073552
minimum_hcp,13 HCP,583,0.06125880108752758
