category,bucket,count,proportion,ci_low,ci_high
condition,heart_fit_8plus,5678,0.5966165808553116,0.5867234178180322,0.6064317783853702
condition,no_8card_major_fit,2144,0.22528107596931807,0.21699958553581175,0.2337842529918708
condition,responder_10plus_hcp,4458,0.4684249238205317,0.45841430949544615,0.47846101790083173
condition,responder_13plus_hcp,1936,0.20342544919617528,0.19545836423729734,0.21163185731343287
condition,responder_3plus_hearts,4991,0.5244299674267101,0.5143887086878559,0.5344515122118626
condition,responder_4plus_spades,3144,0.33035620468635074,0.32097675906750567,0.33987254569552494
condition,responder_8plus_hcp,6322,0.6642849637490806,0.6547326669834377,0.673704689475529
condition,spade_fit_8plus,3228,0.33918251549858147,0.32973745653889036,0.34875734738790937
heart_fit,5-0,194,0.02038457497110434,0.017732999832937715,0.023423179535816293
heart_fit,5-1,1014,0.10654618051907114,0.10050541384489908,0.11290444783684028
heart_fit,5-2,2142,0.225070925711884,0.2167922960682478,0.2335714115269641
heart_fit,5-3,2274,0.2389408427025323,0.23047978815225617,0.24761256098602163
heart_fit,5-4,1270,0.1334454134706315,0.12676108819389942,0.14042553284408898
heart_fit,5-5,415,0.04360617841756856,0.03968412490873243,0.04789652249803348
heart_fit,5-6,59,0.006199432594304928,0.004809479315537974,0.007987862111444057
heart_fit,5-7,6,0.0006304507723021961,0.0002889722628051875,0.0013748994537034012
heart_fit,6-0,89,0.009351686455815909,0.007606173065197631,0.01149313234884484
heart_fit,6-1,400,0.042030051486813075,0.038180030585928615,0.046249634827307096
heart_fit,6-2,687,0.07218661342860146,0.06715796946970826,0.07756048475307234
heart_fit,6-3,631,0.06630240622044763,0.06147653943483421,0.07147824867876688
heart_fit,6-4,269,0.02826520962488179,0.025121133859546847,0.03178995547685826
heart_fit,6-5,60,0.006304507723021961,0.004901399513267407,0.008106007379949974
heart_fit,6-6,7,0.0007355259010192287,0.0003563395604259217,0.0015175976223180147
opener_shape,4S-5H,7374,0.7748239991593989,0.7663221673604425,0.7831040595781101
opener_shape,4S-6H,1865,0.19596511505726594,0.18811355873456803,0.20406201471345242
opener_shape,5S-6H,278,0.029210885783335083,0.026012951999771567,0.03278872653275167
responder_hcp,0-4,994,0.10444467794473049,0.09845893073616827,0.11074962162086416
responder_hcp,10-12,2522,0.2649994746243564,0.25622882582694684,0.2739597589376973
responder_hcp,13+,1936,0.20342544919617528,0.19545836423729734,0.21163185731343287
responder_hcp,5-7,2201,0.23127035830618892,0.2229086017180743,0.23984896838502306
responder_hcp,8-9,1864,0.19586003992854892,0.18801014221721332,0.20395536576457182
responder_hearts,0,283,0.02973626142692025,0.026508813715246153,0.03334319214845383
responder_hearts,1,1414,0.1485762320058842,0.14157234518239575,0.1558637029934828
responder_hearts,2,2829,0.29725753914048547,0.2881582946698691,0.30652038822902694
responder_hearts,3,2905,0.30524324892297994,0.29607132260063207,0.3145723357321504
responder_hearts,4+,2086,0.21918671850373017,0.2109894375169869,0.22761060396904548
responder_spades,0,131,0.013764841861931281,0.011612439663254131,0.016309615332672958
responder_spades,1,947,0.09950614689502994,0.09365278066015871,0.10568269478381233
responder_spades,2,2375,0.2495534307029526,0.24096124546805853,0.25834771575998944
responder_spades,3,2920,0.3068193758537354,0.2976334940234388,0.3161611463028738
responder_spades,4+,3144,0.33035620468635074,0.32097675906750567,0.33987254569552494
spade_fit,4-0,125,0.013134391089629084,0.011035524246261575,0.015626137952253424
spade_fit,4-1,907,0.09530314174634864,0.08956602182837228,0.10136683496618487
spade_fit,4-2,2288,0.24041189450457076,0.23193223560891116,0.24910103005666148
spade_fit,4-3,2836,0.2979930650415047,0.2888869871853695,0.3072621539771739
spade_fit,4-4,2065,0.2169801408006725,0.2088139945154444,0.22537467217964569
spade_fit,4-5,803,0.08437532835977724,0.07895738697875815,0.09012866132732278
spade_fit,4-6,192,0.020174424713670275,0.017537261611682738,0.02319878682460058
spade_fit,4-7,22,0.002311652831774719,0.0015271320013261072,0.0034977871749480487
spade_fit,4-8,1,0.00010507512871703268,1.8548581139703863e-05,0.000594995804192145
spade_fit,5-0,6,0.0006304507723021961,0.0002889722628051875,0.0013748994537034012
spade_fit,5-1,40,0.004203005148681307,0.00308824314326292,0.0057178544252475
spade_fit,5-2,87,0.009141536198381843,0.007417628978813612,0.011261545502758163
spade_fit,5-3,84,0.008826310812230745,0.007135290155463094,0.010913687927402637
spade_fit,5-4,44,0.004623305663549438,0.0034459609014785373,0.0062003985319732755
spade_fit,5-5,16,0.001681202059472523,0.0010351417349655561,0.002729384643896513
spade_fit,5-6,1,0.00010507512871703268,1.8548581139703863e-05,0.000594995804192145
